
Train    0 |     1/39   | loss:    0.7501 | fps:    0.4616 | acc:    0.5000   
Train    0 |    31/39   | loss:    1.0029 | fps:    8.7731 | acc:    0.5927   
Train    0 |     1/39   | loss:    0.6812 | fps:    4.0158 | acc:    0.6250   
Train    0 |     1/39   | loss:    0.7124 | fps:    1.3136 | acc:    0.3750   
Train    0 |     1/50   | loss:    0.6786 | fps:    3.9314 | acc:    0.6250   
Train    0 |    31/50   | loss:    0.4832 | fps:   11.6528 | acc:    0.8266   
Val    0 |     1/13   | loss:    1.7897 | fps:   12.9106 | acc:    0.3750   
Train    1 |     1/50   | loss:    0.0009 | fps:  127.3234 | acc:    1.0000   
Train    1 |    31/50   | loss:    0.1409 | fps:   27.0650 | acc:    0.9435   
Val    1 |     1/13   | loss:    4.5132 | fps:   27.9492 | acc:    0.5000   
Train    2 |     1/50   | loss:    0.0001 | fps:   91.1523 | acc:    1.0000   
Train    2 |    31/50   | loss:    0.1896 | fps:   25.8171 | acc:    0.9516   
Val    2 |     1/13   | loss:    0.0002 | fps:   23.3179 | acc:    1.0000   
Train    3 |     1/50   | loss:    0.0001 | fps:   78.6413 | acc:    1.0000   
Train    3 |    31/50   | loss:    0.0822 | fps:   19.9993 | acc:    0.9597   
Val    3 |     1/13   | loss:    0.0000 | fps:   21.7971 | acc:    1.0000   
Train    4 |     1/50   | loss:    0.0028 | fps:   58.3121 | acc:    1.0000   
Train    4 |    31/50   | loss:    0.2623 | fps:   13.0022 | acc:    0.9516   
Val    4 |     1/13   | loss:    0.0635 | fps:    8.8635 | acc:    1.0000   
Train    5 |     1/50   | loss:    0.0018 | fps:   63.8162 | acc:    1.0000   
Train    5 |    31/50   | loss:    0.0656 | fps:   13.7786 | acc:    0.9839   
Val    5 |     1/13   | loss:    0.0025 | fps:   18.1070 | acc:    1.0000   
Train    6 |     1/50   | loss:    0.0001 | fps:   66.2921 | acc:    1.0000   
Train    6 |    31/50   | loss:    0.0022 | fps:    9.1871 | acc:    1.0000   
Train    0 |     1/100  | loss:    0.3842 | fps:    0.7131 | acc:    0.8750   
Train    0 |    31/100  | loss:    1.7391 | fps:   76.7392 | acc:    0.6169   
Train    0 |    61/100  | loss:    1.4503 | fps:   80.1354 | acc:    0.6434   
Train    0 |    91/100  | loss:    1.2629 | fps:   80.7418 | acc:    0.6621   
Val    0 |     1/13   | loss:    0.4227 | fps:   18.9549 | acc:    0.7500   
Train    1 |     1/100  | loss:    0.6837 | fps:  131.6077 | acc:    0.7500   
Train    1 |    31/100  | loss:    0.7977 | fps:  117.6562 | acc:    0.6653   
Train    1 |    61/100  | loss:    0.7903 | fps:  118.7510 | acc:    0.6865   
Train    1 |    91/100  | loss:    0.7161 | fps:  119.2692 | acc:    0.6992   
Val    1 |     1/13   | loss:    0.6648 | fps:  364.6270 | acc:    0.6250   
Train    2 |     1/100  | loss:    1.9408 | fps:  138.2992 | acc:    0.5000   
Train    2 |    31/100  | loss:    0.6603 | fps:  121.5427 | acc:    0.7540   
Train    2 |    61/100  | loss:    0.6211 | fps:  120.4499 | acc:    0.7439   
Train    2 |    91/100  | loss:    0.6176 | fps:  118.7626 | acc:    0.7239   
Val    2 |     1/13   | loss:    0.7515 | fps:  297.0812 | acc:    0.5000   
Train    3 |     1/100  | loss:    0.9325 | fps:  123.4059 | acc:    0.3750   
Train    0 |     1/100  | loss:    0.7798 | fps:    7.3268 | acc:    0.6250   
Train    0 |    31/100  | loss:    1.8634 | fps:  115.4652 | acc:    0.5685   
Train    0 |    61/100  | loss:    1.5432 | fps:  115.6560 | acc:    0.5840   
Train    0 |    91/100  | loss:    1.3024 | fps:  117.7228 | acc:    0.6154   
Val    0 |     1/13   | loss:    0.6342 | fps:   20.2001 | acc:    0.7500   
Train    1 |     1/100  | loss:    0.1891 | fps:  121.5137 | acc:    1.0000   
Train    1 |    31/100  | loss:    0.6421 | fps:  114.0356 | acc:    0.7661   
Train    1 |    61/100  | loss:    0.8428 | fps:  115.5073 | acc:    0.7131   
Train    1 |    91/100  | loss:    0.8632 | fps:  115.0060 | acc:    0.7047   
Val    1 |     1/13   | loss:    0.5445 | fps:  286.2420 | acc:    0.7500   
Train    2 |     1/100  | loss:    0.7655 | fps:  131.4813 | acc:    0.7500   
Train    0 |     1/100  | loss:    1.0903 | fps:    6.9148 | acc:    0.3750   
Train    0 |    31/100  | loss:    1.9614 | fps:  108.3757 | acc:    0.5927   
Train    0 |    61/100  | loss:    1.5027 | fps:  109.7942 | acc:    0.6127   
Train    0 |    91/100  | loss:    1.3741 | fps:  112.0485 | acc:    0.6236   
Val    0 |     1/13   | loss:    0.5355 | fps:   25.1683 | acc:    0.7500   
Train    1 |     1/100  | loss:    0.9464 | fps:  131.5257 | acc:    0.6250   
Train    1 |    31/100  | loss:    0.7885 | fps:  112.6190 | acc:    0.7298   
Train    1 |    61/100  | loss:    0.7165 | fps:  116.5264 | acc:    0.7336   
Train    1 |    91/100  | loss:    0.7358 | fps:  115.3828 | acc:    0.7198   
Val    1 |     1/13   | loss:    0.8616 | fps:  364.6032 | acc:    0.5000   
Train    2 |     1/100  | loss:    0.9757 | fps:  121.6600 | acc:    0.6250   
Train    2 |    31/100  | loss:    0.8657 | fps:  113.9594 | acc:    0.6815   
Train    2 |    61/100  | loss:    0.8351 | fps:  112.7192 | acc:    0.6619   
Train    2 |    91/100  | loss:    0.8388 | fps:  111.0092 | acc:    0.6758   
Val    2 |     1/13   | loss:    0.4369 | fps:  364.6071 | acc:    0.8750   
Train    3 |     1/100  | loss:    0.7965 | fps:  132.6493 | acc:    0.6250   
Train    3 |    31/100  | loss:    0.8714 | fps:  118.7860 | acc:    0.7742   
Train    3 |    61/100  | loss:    0.8335 | fps:  115.7166 | acc:    0.7213   
Train    3 |    91/100  | loss:    0.7451 | fps:  113.6870 | acc:    0.7418   
Val    3 |     1/13   | loss:    0.3667 | fps:  348.3786 | acc:    0.8750   
Train    4 |     1/100  | loss:    0.6398 | fps:  140.7331 | acc:    0.6250   
Train    4 |    31/100  | loss:    0.4963 | fps:  121.3893 | acc:    0.7944   
Train    4 |    61/100  | loss:    0.5876 | fps:  120.1982 | acc:    0.7602   
Train    4 |    91/100  | loss:    0.5377 | fps:  117.8717 | acc:    0.7761   
Val    4 |     1/13   | loss:    0.7256 | fps:   18.0446 | acc:    0.6250   
Train    5 |     1/100  | loss:    0.6987 | fps:  125.2639 | acc:    0.6250   
Train    5 |    31/100  | loss:    0.5924 | fps:  119.6622 | acc:    0.7137   
